100, 0.06711, 0.005
200, 0.02270, 0.005
300, 0.02271, 0.005
400, 0.01951, 0.005
500, 0.01860, 0.005
600, 0.01648, 0.005
700, 0.01550, 0.005
800, 0.01567, 0.005
900, 0.01424, 0.005
1000, 0.01542, 0.005
1100, 0.01408, 0.005
1200, 0.01323, 0.005
1300, 0.01322, 0.005
1400, 0.01351, 0.005
1500, 0.01313, 0.005
1600, 0.01165, 0.005
1700, 0.01141, 0.005
1800, 0.01239, 0.005
1900, 0.01095, 0.005
2000, 0.01131, 0.005
2100, 0.01115, 0.005
2200, 0.01061, 0.005
2300, 0.01085, 0.005
2400, 0.01029, 0.005
2500, 0.00976, 0.005
2600, 0.00961, 0.005
2700, 0.00930, 0.005
2800, 0.00884, 0.005
2900, 0.00961, 0.005
3000, 0.00875, 0.005
3100, 0.01016, 0.005
3200, 0.00848, 0.005
3300, 0.00926, 0.005
3400, 0.00766, 0.005
3500, 0.00956, 0.005
3600, 0.00876, 0.005
3700, 0.00756, 0.005
3800, 0.00848, 0.005
3900, 0.00892, 0.005
4000, 0.00786, 0.005
4100, 0.00801, 0.005
4200, 0.00805, 0.005
4300, 0.00874, 0.005
4400, 0.00892, 0.005
4500, 0.00783, 0.005
4600, 0.00790, 0.005
4700, 0.00823, 0.005
4800, 0.00814, 0.005
4900, 0.00724, 0.005
5000, 0.00706, 0.005
5100, 0.00767, 0.005
5200, 0.00716, 0.005
5300, 0.00716, 0.005
5400, 0.00749, 0.005
5500, 0.00749, 0.005
5600, 0.00674, 0.005
5700, 0.00702, 0.005
5800, 0.00679, 0.005
5900, 0.00773, 0.005
6000, 0.00687, 0.005
6100, 0.00646, 0.005
6200, 0.00730, 0.005
6300, 0.00693, 0.005
6400, 0.00710, 0.005
6500, 0.00674, 0.005
6600, 0.00628, 0.005
6700, 0.00654, 0.005
6800, 0.00708, 0.005
6900, 0.00685, 0.005
7000, 0.00659, 0.005
7100, 0.00625, 0.005
7200, 0.00642, 0.005
7300, 0.00638, 0.005
7400, 0.00639, 0.005
7500, 0.00561, 0.005
7600, 0.00622, 0.005
7700, 0.00624, 0.005
7800, 0.00607, 0.005
7900, 0.00564, 0.005
8000, 0.00596, 0.005
8100, 0.00620, 0.005
8200, 0.00543, 0.005
8300, 0.00669, 0.005
8400, 0.00579, 0.005
8500, 0.00560, 0.005
8600, 0.00543, 0.005
8700, 0.00563, 0.005
8800, 0.00486, 0.005
8900, 0.00572, 0.005
