scorer,DeepCut_resnet50_frontslowmoJun5shuffle1_28000,DeepCut_resnet50_frontslowmoJun5shuffle1_28000,DeepCut_resnet50_frontslowmoJun5shuffle1_28000,DeepCut_resnet50_frontslowmoJun5shuffle1_28000,DeepCut_resnet50_frontslowmoJun5shuffle1_28000,DeepCut_resnet50_frontslowmoJun5shuffle1_28000,DeepCut_resnet50_frontslowmoJun5shuffle1_28000,DeepCut_resnet50_frontslowmoJun5shuffle1_28000,DeepCut_resnet50_frontslowmoJun5shuffle1_28000,DeepCut_resnet50_frontslowmoJun5shuffle1_28000,DeepCut_resnet50_frontslowmoJun5shuffle1_28000,DeepCut_resnet50_frontslowmoJun5shuffle1_28000
bodyparts,LeftHand,LeftHand,LeftHand,RightHand,RightHand,RightHand,Nose,Nose,Nose,Pellet,Pellet,Pellet
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1390.192226409912,863.4161190986633,0.0021387303713709116,655.7109663486481,671.5528552532196,0.03249989077448845,858.313562631607,502.5887746810913,0.008192891255021095,780.1106552109122,385.51115894317627,0.005371846724301577
1,1342.6869158744812,1022.5391943454742,0.002777844201773405,655.604768037796,672.7327032089233,0.014964205212891102,858.8051793575287,503.0613145828247,0.009881128557026386,780.0567750260234,385.8125066757202,0.004218136891722679
2,1378.603021144867,839.2000513076782,0.04729203134775162,655.5680959224701,671.9902248382568,0.008627155795693398,1376.6142420768738,838.8206067085266,0.023861268535256386,779.368589758873,384.6133441925049,0.00545266130939126
3,717.1648300886154,528.1120610237122,0.003874382469803095,713.5224957466125,529.766140460968,0.013523245230317116,712.549768447876,530.312716960907,0.013139158487319946,779.9379644244909,384.9282178878784,0.008757703006267548
4,1342.3471715450287,1021.1889725923538,0.002227584132924676,772.2066966891289,391.2881712913513,0.004997084848582745,776.2603969573975,387.5884371101856,0.016647374257445335,781.6834099292755,385.06572008132935,0.03011847473680973
5,1341.7412056922913,1020.5597079992294,0.004295835737138987,764.2025130093098,382.7016522884369,0.006730221211910248,776.0733242034912,387.5614034831524,0.021196046844124794,782.169196844101,384.94352865219116,0.020823610946536064
6,782.3293192386627,393.09867787361145,0.0023416001349687576,763.9979656348005,382.5667326450348,0.00377332279458642,776.1697680950165,387.81131461262703,0.022181008011102676,781.9936457872391,385.16719913482666,0.02330200932919979
7,781.9441992044449,392.8441734313965,0.0025434144772589207,764.6089184880257,382.68700790405273,0.004340021871030331,776.1248214244843,386.51550006866455,0.016398178413510323,782.0050585269928,385.07819986343384,0.02907874435186386
8,1374.6371412277222,840.8772456645966,0.010425129905343056,749.1759028434753,382.0852053165436,0.004198763519525528,774.7253499031067,385.5594000816345,0.011782205663621426,780.8237556219101,384.73074102401733,0.015864364802837372
9,1344.2226281166077,1019.5982845127583,0.0029916311614215374,748.6732845902443,380.4007112085819,0.013539106585085392,775.2100915908813,384.97137570381165,0.010101642459630966,779.8480847477913,383.7593832015991,0.028909295797348022
10,1343.0511486530304,1020.7142622470856,0.003818110330030322,748.2041447609663,380.63113808631897,0.009842952713370323,776.1072413921356,385.8534724712372,0.009614972397685051,779.2550934553146,383.2648057937622,0.031236672773957253
11,748.7690185308456,381.4633198976517,0.0021307282149791718,747.2726571559906,380.9721316099167,0.017617085948586464,749.2883415222168,383.31981348991394,0.01079553086310625,778.6153788566589,383.2657287120819,0.029257148504257202
12,780.9807749390602,392.9742178916931,0.003516749944537878,749.4651962518692,381.67397916316986,0.00976262055337429,775.7256484031677,386.2577848434448,0.013073117472231388,779.4480891227722,384.20844411849976,0.020934997126460075
13,781.3631681203842,393.08054089546204,0.004461335018277168,764.5099655985832,383.5553352832794,0.007827156223356724,770.5934782028198,383.16749715805054,0.030004918575286865,781.6115584373474,385.56023597717285,0.024706946685910225
14,1391.5570549964905,849.611353635788,0.046438317745923996,671.4421162605286,670.6528828144073,0.06017974764108658,1386.0892819166183,847.8521029949188,0.04111237823963165,768.3318781852722,632.8546738624573,0.004177069757133722
15,797.880029797554,392.807003736496,0.002522990806028247,780.6103760004044,384.03652238845825,0.00882437452673912,785.130499124527,383.8376054763794,0.009969903156161308,797.1959611177444,385.7520203590393,0.016970261931419373
16,1342.293092250824,1021.4284911155701,0.005375873763114214,688.222493648529,669.1191185712814,0.013383942656219006,902.6557104587555,523.8465627282858,0.005151906982064247,803.8175148963928,394.8358118534088,0.005484879482537508
17,1342.463599205017,1020.5364077091217,0.004291646182537079,687.5021119117737,660.2770487368107,0.009782743640244007,890.6554523706436,504.36872959136963,0.010496705770492554,748.9803792834282,528.5844259262085,0.004986292216926813
18,1340.9598950743675,1020.8598439097404,0.0021458319388329983,687.8077938556671,659.872472256422,0.009053980000317097,891.4768843650818,504.0961856842041,0.006337495055049658,809.1000843048096,388.4512008726597,0.006624489091336727
19,1340.6878725886345,1021.5342832803726,0.003306447295472026,905.2521090507507,522.1030136346817,0.005218741949647665,809.2560398578644,385.8407783508301,0.006016300525516272,808.8741273880005,386.55723905563354,0.018326494842767715
20,1341.7161165475845,1020.6553843021393,0.0034546491224318743,671.8608500957489,659.7454075813293,0.0048551615327596664,793.7062356472015,380.60147631168365,0.005248552188277245,798.5058405399323,381.27510464191437,0.006546725053340197
21,1341.7993104457855,1021.1612796783447,0.001306871883571148,671.4829344749451,661.1065927743912,0.030250845476984978,875.0670500993729,499.3479428291321,0.01133889239281416,793.7990655899048,382.0916225910187,0.008529337123036385
22,1342.4406459331512,1021.2836315631866,0.003125894581899047,668.3333505690098,672.9360957145691,0.004380048718303442,779.6748427152634,383.8853497505188,0.005125187803059816,785.444329738617,382.54545402526855,0.005798872094601393
23,1341.833729505539,1021.5997453927994,0.0044854856096208096,764.325780570507,539.0924670100212,0.005673086270689964,777.6042945384979,378.3596782684326,0.005925078876316547,780.9387329816818,380.3524466454983,0.01330469362437725
24,1518.615287065506,881.576521396637,0.006180597469210625,656.8103928565979,670.6253004074097,0.00843376386910677,777.0858352184296,384.962619304657,0.010104356333613396,779.6025426089764,380.55871444940567,0.02333182655274868
25,1381.8127871751785,842.2397408485413,0.02763053961098194,656.4071898460388,670.187486410141,0.027805205434560776,1385.1503155231476,841.7550084590912,0.013926993124186993,779.8075755387545,382.99913692474365,0.012283452786505222
26,1342.5432419776917,1020.2858312427998,0.0043030004017055035,655.3585510253906,676.3091289997101,0.007649438921362162,784.6392052173615,495.5997955799103,0.011979246512055397,1343.0606532096863,1023.1900541782379,0.005263076163828373
27,1379.8347404748201,848.5892705917358,0.022989284247159958,746.7698231935501,566.7831931114197,0.005681048147380352,1379.9073759540915,846.2157628536224,0.015970494598150253,761.5787053108215,388.02220687642694,0.00603888975456357
28,1342.9433681964874,1020.4074503779411,0.0029679774306714535,640.9042959213257,699.5594535768032,0.02478959411382675,843.5660021007061,517.4083786010742,0.006006031762808561,851.3566899299622,513.7530236244202,0.003561552846804261
29,1340.2594923377037,1020.5648035407066,0.005821168422698975,761.6906645298004,510.27678179740906,0.003338063135743141,762.1371566057205,512.3102779388428,0.02733367495238781,1340.5845609903336,1024.0341110229492,0.011513915844261646
30,1342.3813107013702,1021.1830415725708,0.00564341526478529,731.834092348814,581.7531142234802,0.0034611676819622517,762.0485507249832,514.0130767822266,0.011901606805622578,1342.0889925956726,1024.958652973175,0.005481314845383167
31,1253.94446849823,805.3413066864014,0.0055388957262039185,622.9606325626373,707.4174814224243,0.007780373562127352,761.1069867610931,513.7093119621277,0.0104127898812294,1342.5127329826355,1024.683032989502,0.004354304168373346
32,1342.6011152267456,1019.7170296013355,0.0045641399919986725,624.053879737854,724.2978008687496,0.018787620589137077,678.1783671379089,692.771312713623,0.005640661809593439,1342.3734438419342,1024.1151356697083,0.007257928140461445
33,1342.033497095108,1020.6946445703506,0.007155701518058777,623.6249775886536,723.479864180088,0.018162794411182404,826.4652709960938,533.0481758117676,0.008819871582090855,1341.942747950554,1023.8930251598358,0.00819652620702982
34,1342.4287371635437,1020.3791981935501,0.004482950549572706,624.8475618362427,731.6237316429615,0.02607196941971779,727.9440050125122,410.36872601509094,0.00851440243422985,734.7789933681488,412.16368302702904,0.006978487130254507
35,1341.364711523056,1020.2740132212639,0.0032052777241915464,624.7351336479187,732.0255009178072,0.020527470856904984,749.2363206148148,524.9943370223045,0.004994430113583803,1341.943895459175,1024.1207971572876,0.007572363130748272
36,1266.2560118436813,805.3602088689804,0.0195913128554821,625.0390062332153,733.0125367641449,0.012390200980007648,826.9016990661621,532.9353761672974,0.01194051280617714,1341.4906120300293,1024.5317788124084,0.007580469362437725
37,1340.5220596790314,1020.1395373791456,0.004680203273892403,625.2165808677673,731.9259269014001,0.01204084511846304,826.4899563789368,532.5623846054077,0.004792457912117243,1340.9081731438637,1024.2806859016418,0.008123517967760563
38,1341.382557630539,1019.232571721077,0.002648624125868082,622.9285969734192,722.9477431774139,0.010448063723742962,793.1617577075958,700.9710576534271,0.007191789336502552,1341.4346356391907,1023.875296831131,0.004888881929218769
39,1341.5907788276672,1020.778362929821,0.006737505551427603,623.4752383232117,723.998803172959,0.02245262637734413,793.5442793369293,700.7249289751053,0.009903845377266407,1341.464761376381,1023.8046967983246,0.007725969422608614
40,1385.984030008316,845.0413473844528,0.018436027690768242,623.20556473732,723.3787557482719,0.015501150861382484,1385.138484954834,843.5524506866932,0.01688412018120289,1340.4486129581928,1024.862545490265,0.0037761633284389973
41,1340.9439017176628,1019.7179909944534,0.0029970193281769753,622.8504586219788,723.8228300660849,0.01161960233002901,793.5361161231995,701.7996220588684,0.01002537738531828,1340.7070107460022,1023.9969854354858,0.005077861249446869
42,1340.5518771409988,1019.5525428950787,0.004134623799473047,624.9771614074707,732.1988251805305,0.014167076908051968,753.8977203369141,527.9385192394257,0.009361837059259415,1340.756424665451,1024.2861399650574,0.008814890868961811
43,1341.3748055696487,1019.2694604992867,0.004364430904388428,624.8213291168213,732.2621044814587,0.01993873342871666,826.0243309736252,533.5284748077393,0.004400336183607578,1341.2560999393463,1023.7673423290253,0.007408173754811287
44,1342.1447131633759,1019.5160359144211,0.005076591856777668,622.574903011322,735.7956178188324,0.015440629795193672,826.2364826202393,536.0951509475708,0.011113458313047886,731.7550018876791,414.29526472091675,0.012931794859468937
45,1342.9119625091553,1020.3325310349464,0.007717726286500692,620.9476262927055,737.7295064926147,0.004562173038721085,747.1517181992531,528.1509718894958,0.008933605626225471,1342.7019271850586,1023.9761612415314,0.010720334947109222
46,1342.1067109107971,1019.5978400111198,0.004593222867697477,619.9698185678571,748.2731966972351,0.005511019378900528,810.930571436882,532.7070960998535,0.005068924278020859,1342.5086801052094,1023.9240469932556,0.008961024694144726
47,1343.868046760559,1020.9881120920181,0.0031117629259824753,606.7287049293518,736.6745653152466,0.007005228661000729,660.5088949203491,708.6232919692993,0.008515428751707077,716.7437309026718,417.9287180900574,0.007581176236271858
48,1379.9060452356935,840.4910411834717,0.016816113144159317,607.8560779094696,739.6658339202404,0.017877750098705292,778.9631096124649,709.9852122068405,0.004333513788878918,717.4659605026245,428.04346070066094,0.0047686235047876835
49,1343.8279592990875,1019.3591504096985,0.00636633625254035,607.5531494617462,738.7343542575836,0.014779393561184406,808.5570411682129,537.4180197715759,0.006924553774297237,1342.9779739379883,1022.9789674282074,0.006986591964960098
50,1379.4467317461967,838.5827393531799,0.028941096737980843,607.7118966579437,739.0989837646484,0.015544525347650051,779.2581255435944,708.9668075442314,0.00533340685069561,1342.4238288402557,1023.0308833122253,0.00846570823341608
51,1342.2548429965973,1020.2310134023428,0.002080724108964205,607.8092288970947,739.1748648285866,0.013370620086789131,779.2701539993286,708.5851481556892,0.005847865249961615,717.5788764953613,428.70728915929794,0.003325844882056117
52,1376.3026461601257,833.9106187820435,0.0033708103001117706,607.9037482738495,739.2984515428543,0.015946965664625168,660.8698487281799,709.4315710067749,0.004165795166045427,829.8306735754013,574.9894504547119,0.0028296797536313534
53,1259.10749989748,803.0922050476074,0.008314162492752075,607.8278131484985,739.4174779653549,0.02091166190803051,779.1083338856697,708.8383014202118,0.0035835786256939173,712.6417436599731,420.4223700761795,0.002399659249931574
54,829.6842595338821,569.8243062496185,0.0016385496128350496,607.9517176151276,739.850169673562,0.01716064102947712,778.4087965488434,709.344079375267,0.006309304386377335,829.3702770471573,575.4756796360016,0.002836543135344982
55,829.2278584241867,569.4155287742615,0.0022019678726792336,607.5980837345123,741.3099414110184,0.013689040206372738,807.9650778770447,546.1169662475586,0.005213706288486719,829.1003704071045,575.0015251636505,0.00409855879843235
56,1341.9511922597885,1020.0155091341585,0.0028112290892750025,609.5705814361572,748.2694478929043,0.01608291268348694,778.1725416183472,715.404247879982,0.005574342794716358,1341.809249639511,1024.6883397102356,0.00395536981523037
57,1342.9802606105804,1020.4625786542892,0.005205060355365276,609.147979259491,748.2442408204079,0.01687915064394474,777.8623886108398,715.4623581767082,0.0034993193112313747,1342.8769481182098,1024.6814451217651,0.004918931517750025
58,1262.1751737594604,804.7940989732742,0.004633795935660601,609.175733089447,748.6052232980728,0.031390998512506485,809.0653758049011,546.5853786468506,0.004774911794811487,1341.83733689785,1025.8741850852966,0.002974264556542039
59,1341.6081186532974,1020.2335791438818,0.004988363012671471,608.7391986846924,749.1797482967377,0.016969656571745872,810.7427073717117,547.4599847793579,0.009385485202074051,1341.4210436344147,1024.1296772956848,0.006302757654339075
60,609.661416053772,748.4294802844524,0.0012175332522019744,609.0490183830261,749.3958864212036,0.032657232135534286,810.8197892904282,547.0175442695618,0.005939430557191372,1340.8132582306862,1025.0576128959656,0.0022910020779818296
61,1341.3081942796707,1020.9118384718895,0.002402295358479023,608.6653990745544,748.8349930047989,0.021425515413284302,809.7811164855957,546.9356460571289,0.007974185049533844,718.0125315189362,427.5946041941643,0.004506981000304222
62,1341.7101794481277,1020.9616333842278,0.0023573292419314384,609.1751828193665,748.8385793566704,0.015835847705602646,712.4566824436188,424.92053866386414,0.006345084868371487,718.5428085327148,426.80882120132446,0.005538675468415022
63,1341.8311855793,1020.2992866635323,0.003057702211663127,608.0385227203369,750.9187915325165,0.020265348255634308,733.5604156255722,541.6297619342804,0.007923359051346779,1342.0376017093658,1024.26562166214,0.004715360701084137
64,1341.4511064291,1020.7660779953003,0.0026650119107216597,622.1665098667145,764.564149916172,0.013729413971304893,830.2860708236694,566.0468349456787,0.0038093621842563152,1341.3730193376541,1024.7700471878052,0.004868650808930397
65,1341.0886770486832,1020.6063784956932,0.003562596859410405,619.0728062391281,734.343104839325,0.009665582329034805,664.4997637271881,691.1746582984924,0.006924592889845371,1341.559433221817,1024.7088723182678,0.006919735111296177
66,1340.0359131209552,1020.2423404157162,0.004670209251344204,618.5429105758667,687.7393889427185,0.00790955126285553,651.8436935544014,518.282080411911,0.0026774764992296696,1340.3086600601673,1024.4894742965698,0.00746948691084981
67,1379.2684730291367,784.0611801147461,0.005383525509387255,651.5426649749279,654.7297031879425,0.01889345794916153,1433.851080417633,288.7495050430298,0.02355515956878662,729.7185788154602,305.0848751068115,0.0055830697529017925
68,812.5172283053398,454.66710329055786,0.0012127939844503999,736.7124223709106,642.0675777196884,0.014346844516694546,813.2570925951004,455.2068543434143,0.0037665320560336113,814.2611877918243,458.1003347635269,0.008885965682566166
