,reach_time,reach_label
0,21.196,f
1,66.492,s
2,71.227,f
3,88.349,f
4,92.221,r
5,99.692,f
6,116.299,f
7,127.703,s
8,135.332,f
9,142.429,f
10,147.11,s
11,151.609,s
12,157.722,s
13,163.4,s
14,172.798,f
15,183.103,f
16,204.054,f
17,208.735,f
18,216.329,s
