,reach_time,reach_label
0,5.6,s
1,23.6,f
2,32.84,s
3,36.14,s
4,43.5,s
5,50.14,f
6,60.75,s
7,64.7,s
8,70.87,f
9,87.25,s
10,92.0,f
11,122.9,f
12,182.95,s
13,246.75,f
14,284.23,s
15,290.43,s
16,303.5,f
17,303.92,s
18,324.65,f
19,332.8,s
20,367.56,s
