,mouse,proportion_spent,vid_length,time_spent
0,50909.0,0.7526427061310782,65.4,49.22283298097252
1,50911.0,0.666320705760249,65.45,43.6106901920083
2,50944.0,0.5384615384615384,69.14,37.22923076923077
3,56199.0,0.6464059196617337,65.46,42.313731501057084
4,56242.0,0.0,69.22,0.0
5,56244.0,0.25507548152004167,65.44,16.692139510671527
6,63410.0,0.5112083105522143,80.42,41.11137233460907
7,63447.0,0.7502726281352236,67.49,50.635899672846236
8,66019.0,0.8643973214285714,68.99,59.63477120535713
9,66020.0,0.5664739884393064,69.08,39.132023121387284
